metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1763476469.4405,elite,116.4289792348,1742333403.528,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764663535,1765216794.1451,80,http,102.177.176.2:80,False,139.71471786499,92917,4540,95.341535241183,102.177.176.2
True,1765216495.1213,transparent,7032.6781592937,1754380899.6825,AS265688 SINERGY SOLUCIONES INTEGRALES,SINERGY SOLUCIONES INTEGRALES,Garzón,South America,SA,Colombia,CO,,False,Sinergy Soluciones Integrales,2.1909,-75.6282,False,Sinergy Soluciones Integrales,True,Huila Department,success,America/Bogota,414020,1765105260,1765216793.6429,8080,http,138.117.84.194:8080,False,6855.2188873291,1326,17955,6.8772366578497,138.117.84.194
True,1763476448.1943,elite,115.34673893823,1742441490.6555,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1764663743,1765216793.5217,80,http,45.67.215.243:80,False,88.896989822388,96437,3458,96.538365283548,45.67.215.243
True,1765216793.5001,elite,3687.6271888469,1749406713.2187,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Frankfurt am Main,Europe,EU,Germany,DE,,True,"Alibaba (US) Technology Co., Ltd.",50.1169,8.6837,False,Alibaba.com Singapore E-Commerce Private Limited,True,Hesse,success,Europe/Berlin,60313,1764664497,1765216793.5001,1081,http,8.211.49.86:1081,False,2798.3784675598,1549,81544,1.8641762844042,8.211.49.86
True,1763479976.9543,elite,128.13834120823,1756297637.6898,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",True,California,success,America/Los_Angeles,95113,1764766479,1765216793.4336,80,http,170.114.45.141:80,False,366.12010002136,59463,184,99.69151843345,170.114.45.141
True,1765020561.349,elite,115.09651602217,1720480256.3976,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1764663999,1765216793.4278,80,http,185.238.228.187:80,False,20.948648452759,96333,2505,97.465549687367,185.238.228.187
True,1765087562.7398,elite,116.27502220142,1742439733.4401,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1764664220,1765216793.4269,80,http,216.205.52.57:80,False,53.599119186401,95943,1081,98.8858426781,216.205.52.57
True,1764950741.883,elite,115.99654902903,1742405569.3982,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1764663763,1765216793.3787,80,http,216.205.52.253:80,False,130.03039360046,95771,4226,95.773873216196,216.205.52.253
True,1765082082.1788,elite,116.97245384808,1742332719.9773,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764663596,1765216793.3731,80,http,102.177.176.204:80,False,425.73189735413,93168,4568,95.326184824425,102.177.176.204
True,1763476642.4646,elite,117.79277470488,1752326304.2836,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1764663196,1765216793.3199,80,http,8.35.211.27:80,False,165.81392288208,88951,190,99.786854533828,8.35.211.27
