alive,alive_since,anonymity,average_timeout,first_seen,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update
true,1772917289.7744,transparent,7276.8525536266,1710543108.7451,1772917289.7744,8080,http,103.154.92.74:8080,false,3519.9837684631,47855,741203,6.0648266667343,103.154.92.74,"AS131111 PT Mora Telematika Indonesia",CEPATNET-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,false,"PT Mora Telematika Indonesia",-6.21462,106.845,false,Cepatnet,true,Jakarta,success,Asia/Jakarta,,1772586310
true,1772916591.2956,elite,250.60394463934,1739086312.7545,1772917289.729,8888,http,81.169.213.169:8888,false,60.068130493164,201913,186002,52.050835878994,81.169.213.169,"AS6724 Strato GmbH",STRATO,Berlin,Europe,EU,Germany,DE,Charlottenburg-Wilmersdorf,true,"Strato AG",52.5234,13.3224,false,"Strato AG",true,"State of Berlin",success,Europe/Berlin,10587,1772526922
true,1772916762.749,elite,564.33710325447,1771574790.5724,1772917289.6721,8118,http,8.219.191.219:8118,false,425.5530834198,27950,14188,66.32967867483,8.219.191.219,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Alibaba (US) Technology Co., Ltd.",1.35208,103.82,false,"Alibaba.com Singapore E-Commerce Private Limited",false,"North West",success,Asia/Singapore,858877,1772784430
true,1772917164.7124,elite,2943.4294562806,1766353243.9321,1772917289.4314,80,http,104.230.113.255:80,false,2230.8745384216,20384,95698,17.560000689168,104.230.113.255,"AS10796 Charter Communications Inc",TWC-10796-MIDWEST,Aurora,"North America",NA,"United States",US,,false,"Charter Communications",41.3179,-81.3471,false,Spectrum,true,Ohio,success,America/New_York,44202,1772402024
true,1772917056.6567,elite,1168.5529895859,1771546037.4685,1772917288.8774,8888,http,154.219.101.86:8888,false,519.64449882507,39116,3897,90.939948387697,154.219.101.86,"AS401701 cognetcloud INC",COGNETCLOUD-2,"Hong Kong",Asia,AS,"Hong Kong",HK,,false,"Vapeline Technology(HK)Co",22.3193,114.169,false,,false,Kowloon,success,Asia/Hong_Kong,999077,1772755931
true,1772917288.8603,elite,3753.9434608316,1715760143.5676,1772917288.8603,4673,socks4,77.225.198.220:4673,true,1346.0030555725,11234,546777,2.0132219615742,77.225.198.220,"AS12430 VODAFONE ESPANA S.A.U.",VODAFONE_ES,Madrid,Europe,EU,Spain,ES,,false,"Comunitel Global",40.4167,-3.70329,false,"Comunitel Global S.A.",true,Madrid,success,Europe/Madrid,28070,1772392409
true,1772917288.7958,elite,870.79828860505,1720452235.5445,1772917288.7958,18302,socks4,192.111.135.17:18302,true,713.08207511902,82995,608411,12.003800950527,192.111.135.17,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Total Server Solutions L.L.C.",33.9381,-84.4633,false,"Assima Inc",true,Georgia,success,America/New_York,30067,1772633213
true,1772917288.7921,elite,6799.9501757558,1713008774.8858,1772917288.7921,61827,socks4,207.55.242.248:61827,true,723.97971153259,1784,178445,0.98985179965488,207.55.242.248,,,Buffalo,"North America",NA,"United States",US,Downtown,false,HostPapa,42.893,-78.8753,false,HostPapa,true,"New York",success,America/New_York,14202,1772625628
true,1772915949.2764,elite,1671.8400951992,1765090228.2442,1772917288.7576,80,http,103.213.97.78:80,false,1161.3857746124,118030,11685,90.991789692788,103.213.97.78,"AS56046 China Mobile communications corporation",CMNET-Jiangsu-AP,Changzhou,Asia,AS,China,CN,"Wujin Qu",false,"China Unicom Jiangsu Province network",31.7017,119.943,true,,true,Jiangsu,success,Asia/Shanghai,213000,1772348915
true,1772916924.4691,elite,780.13457945387,1734634764.1668,1772917287.898,8990,http,47.56.110.204:8990,false,674.33857917786,278761,169612,62.171674030327,47.56.110.204,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba (US) Technology Co., Ltd.",22.3193,114.169,false,"Alibaba.com LLC",true,Kowloon,success,Asia/Hong_Kong,999077,1772743683
true,1772917153.5176,transparent,1254.7641536455,1770678999.2752,1772917287.6297,3138,http,205.209.118.30:3138,false,211.55214309692,54338,9712,84.836846213895,205.209.118.30,"AS19318 Interserver, Inc",IS-AS-1,"Englewood Cliffs","North America",NA,"United States",US,,true,"Interserver, Inc",40.8854,-73.9524,false,"Host Department NJ, LLC",true,"New Jersey",success,America/New_York,07632,1772493481
true,1772911209.4234,elite,1303.2145240343,1752072178.3183,1772917287.3147,9091,http,113.204.79.230:9091,false,930.997133255,209684,8516,96.097158570119,113.204.79.230,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Jinrongjie,Asia,AS,China,CN,"Xicheng District",false,"CHINA UNICOM China169 Backbone",39.9236,116.36,false,"huazhenggongXS com",true,Beijing,success,Asia/Shanghai,,1772638620
true,1772917286.5535,elite,200.78155566331,1732983025.7761,1772917286.5535,8888,http,159.65.230.46:8888,false,168.55216026306,226655,243826,48.175165415819,159.65.230.46,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"North Bergen","North America",NA,"United States",US,,true,"DigitalOcean, LLC",40.7964,-74.0203,false,"DigitalOcean, LLC",true,"New Jersey",success,America/New_York,07047,1772585922
true,1772895005.7693,elite,1462.2655211158,1750609509.8836,1772917286.5518,9002,http,61.158.175.38:9002,false,840.27433395386,186462,5950,96.907677275846,61.158.175.38,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Zhengzhou,Asia,AS,China,CN,"Jinshui Qu",false,"CNC Group CHINA169 Henan Province Network",34.8283,113.677,false,,true,Henan,success,Asia/Shanghai,450000,1772738123
true,1772917286.404,transparent,5449.331553156,1760639213.803,1772917286.404,8088,http,103.172.70.167:8088,false,1091.4125442505,12440,124584,9.0787015413358,103.172.70.167,"AS142386 PT JARINGAN LINTAS ARTHA",AZNET-ID,Surakarta,Asia,AS,Indonesia,ID,,false,AZNET,-7.55611,110.832,false,,true,"Central Java",success,Asia/Jakarta,,1772693674
true,1772917285.7926,transparent,6873.9388730252,1740519975.8597,1772917285.7926,8081,http,180.191.34.229:8081,false,1998.5303878784,34720,331341,9.4847580048134,180.191.34.229,"AS132199 Globe Telecom Inc.",GLOBE-MOBILE-5TH-GEN-AS,"Cabanatuan City",Asia,AS,Philippines,PH,,false,"Globe Telecom",15.4903,120.9682,true,,true,"Central Luzon",success,Asia/Manila,3100,1772579873
true,1772917285.7243,elite,3812.1730785616,1766259978.758,1772917285.7243,7897,http,115.190.91.223:7897,false,2163.9876365662,35131,82457,29.876347926659,115.190.91.223,"AS137718 Beijing Volcano Engine Technology Co., Ltd.",VOLCANO-ENGINE,Beijing,Asia,AS,China,CN,,false,"GWBN-WUHAN's IP",39.9042,116.407,false,,true,Beijing,success,Asia/Shanghai,100000,1772913639
true,1772917285.5087,elite,1975.6225718668,1697035382.8529,1772917285.5087,4145,socks4,184.178.172.11:4145,true,3632.0381164551,159910,660010,19.50312225583,184.178.172.11,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2681,-79.9404,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1772669566
true,1772917122.4993,elite,3372.4219527255,1710543963.6749,1772917285.4768,3128,http,47.91.65.23:3128,false,1163.6765003204,574993,267703,68.23255361364,47.91.65.23,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Alibaba.com LLC",50.1169,8.6837,false,ALICLOUD-GM,true,Hesse,success,Europe/Berlin,60313,1772586359
true,1772917284.8317,elite,332.00378328201,1770803910.9374,1772917284.8317,8888,http,107.174.231.218:8888,false,313.03668022156,53655,11899,81.84855233853,107.174.231.218,"AS36352 HostPapa",AS-COLOCROSSING,Dallas,"North America",NA,"United States",US,,true,HostPapa,32.7797,-96.8022,false,"VPS ACE",true,Texas,success,America/Chicago,75270,1772618684
true,1772906737.5254,elite,911.68684977339,1765085077.2083,1772917284.7761,80,http,48.210.225.96:80,false,716.68243408203,124760,5423,95.834325526374,48.210.225.96,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Tokyo,Asia,AS,Japan,JP,,true,"Microsoft Corporation",35.68,139.77,false,"Microsoft Azure Cloud (japaneast)",true,Tokyo,success,Asia/Tokyo,152-8503,1772343395
true,1772900867.5598,elite,1526.4771350862,1772708450.9306,1772917284.7329,800,http,58.216.109.13:800,false,1124.9806880951,6889,24,99.652828005208,58.216.109.13,"AS140293 CHINATELECOM Jiangsu province Changzhou 5G network",CHINATELECOM-JIANGSU-CHANGZHOU-5G-NETWORK,Nanjing,Asia,AS,China,CN,,false,"China Telecom",32.0607,118.763,false,"Chinanet JS",false,Jiangsu,success,Asia/Shanghai,210000,1772708465
true,1772916861.7922,elite,30.561584552296,1772713906.2218,1772917284.6456,80,http,23.88.88.105:80,false,27.418375015259,6204,524,92.211652794293,23.88.88.105,"AS24940 Hetzner Online GmbH",HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,true,"Hetzner Online GmbH",49.4527,11.0783,false,,false,Bavaria,success,Europe/Berlin,90403,1772714061
true,1772917284.6201,elite,1482.4574631812,1696987209.4257,1772917284.6201,4145,socks4,24.249.199.12:4145,true,836.6711139679,202924,729426,21.764787901539,24.249.199.12,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,"San Diego","North America",NA,"United States",US,,false,"Cox Communications Inc.",32.9164,-117.1393,false,"Cox Communications",true,California,success,America/Los_Angeles,92126,1772855361
true,1772917284.6186,elite,9804.977379139,1722966859.6526,1772917284.6186,8080,socks4,182.93.225.86:8080,true,1190.9589767456,422,100223,0.41929554374286,182.93.225.86,"AS4621 UNINET-TH",UNINET-AS-AP,"Pom Prap Sattru Phai",Asia,AS,Thailand,TH,"Khwaeng Dusit",false,"Office of Info.Tech. Admin. for Educational Development",13.7655,100.509,false,"Ministry of Education - EMISC",false,Bangkok,success,Asia/Bangkok,10100,1772646729
true,1772917207.7879,anonymous,1385.6844978162,1756034724.8045,1772917284.4352,80,http,219.93.101.62:80,false,567.89088249207,164507,24591,86.995631894573,219.93.101.62,"AS4788 TM TECHNOLOGY SERVICES SDN. BHD.",TTSSB-MY,"Kota Kinabalu",Asia,AS,Malaysia,MY,,false,"ADSL Streamyx Telekom Malaysia",5.9749,116.072,false,,true,Sabah,success,Asia/Kuching,88600,1772527338
true,1772908280.3945,elite,2434.5201091014,1766749136.2817,1772917284.4257,3000,http,116.171.106.78:3000,false,1169.2917346954,104515,15350,87.193926500647,116.171.106.78,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Jinrongjie,Asia,AS,China,CN,"Xicheng District",false,"China Unicom CHINA169 Network",39.9072,116.357,false,"China United Network Communications Corporation Limited",true,Beijing,success,Asia/Shanghai,,1772797864
true,1772917284.4078,transparent,5190.8618802825,1767111944.6244,1772917284.4078,8090,http,188.116.37.3:8090,false,2342.1347141266,10798,106365,9.2162201377568,188.116.37.3,"AS197155 Artnet Sp. z o.o.",ARTNET,Gdansk,Europe,EU,Poland,PL,,true,"Artnet Sp. z o.o.",54.352,18.6466,false,"Mernyk Mykyta",true,Pomerania,success,Europe/Warsaw,80-846,1772556265
true,1772916548.0487,elite,2534.4055463421,1772799776.6107,1772917284.3439,7890,http,14.225.217.30:7890,false,3923.6125946045,2919,958,75.290172814031,14.225.217.30,"AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP",VNPT-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,false,"Vietnam Posts and Telecommunications Group",21.0278,105.834,false,VNPT,false,Hanoi,success,Asia/Bangkok,,1772799785
true,1772917283.6591,transparent,5916.0577826764,1744139858.187,1772917283.6591,1111,http,103.172.42.105:1111,false,3877.8254985809,27537,296211,8.5056896104377,103.172.42.105,"AS142393 PT Media Solusi Sukses",IDNIC-MEDIASOLUSISUKSES-AS-ID,"Kabupaten Musi Banyuasin",Asia,AS,Indonesia,ID,,false,"PT Media Solusi Sukses",-2.6708,103.8912,false,"PT Media Solusi Sukses",true,"South Sumatra",success,Asia/Jakarta,30755,1772569211
true,1772917283.6431,transparent,6192.9023484982,1762130215.1436,1772917283.6431,8080,http,187.62.241.137:8080,false,3707.896232605,8671,141907,5.7584773340063,187.62.241.137,"AS262663 METROFLEX TELECOMUNICACOES LTDA","METROFLEX TELECOMUNICACOES LTDA","Rio de Janeiro","South America",SA,Brazil,BR,,false,"Metroflex Telecomunicacoes Ltda",-22.9072,-43.1883,false,"Metroflex Telecomunicacoes Ltda",true,"Rio de Janeiro",success,America/Sao_Paulo,23066,1772417563
true,1772917154.7396,elite,2925.0067343874,1772645792.3691,1772917283.2038,6666,http,51.250.37.15:6666,false,1082.471370697,1437,7174,16.687957263965,51.250.37.15,"AS200350 Yandex.Cloud LLC",YandexCloud,Moscow,Europe,EU,Russia,RU,,false,"Yandex.Cloud LLC",55.7332,37.5833,false,"Yandex.Cloud LLC",false,Moscow,success,Europe/Moscow,101194,1772656306
true,1772917283.0736,transparent,7293.7912269644,1768468473.37,1772917283.0736,999,http,38.190.100.105:999,false,4159.8918437958,16754,91160,15.525325722334,38.190.100.105,"AS273133 CONEX TV E.I.R.L.","CONEX TV E.I.R.L.","San Juan de Lurigancho","South America",SA,Peru,PE,,false,"Conex TV E.I.R.L",-12.0064,-77.0139,false,"Conex TV E.I.R.L",true,"Lima region",success,America/Lima,15442,1772704134
true,1772917282.9632,elite,3043.7971099029,1769678453.1695,1772917282.9632,6980,http,103.253.145.138:6980,false,2416.8679714203,57970,38973,59.798025643935,103.253.145.138,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,DIGITALOCEAN,1.32123,103.695,false,"Digital Ocean, Inc.",true,"South West",success,Asia/Singapore,627753,1772702650
true,1772917007.477,elite,822.70366998106,1771798605.1055,1772917282.4643,7443,http,138.124.53.25:7443,false,120.70083618164,28515,5990,82.640197072888,138.124.53.25,"AS210644 AEZA INTERNATIONAL LTD",AEZA-AS,"Frankfurt am Main",Europe,EU,Germany,DE,,false,"Aeza International LTD",50.1169,8.6837,false,"Aeza International LTD",false,Hesse,success,Europe/Berlin,60313,1772403744
true,1772917280.8153,transparent,5717.6634166429,1758913536.3462,1772917280.8153,8080,http,190.97.254.180:8080,false,3787.3892784119,12706,161839,7.279498123693,190.97.254.180,"AS263703 VIGINET C.A","VIGINET C.A","San Cristóbal","South America",SA,Venezuela,VE,,false,"Viginet C.A",7.768,-72.244,false,"Viginet C.A",true,Táchira,success,America/Caracas,,1772827195
true,1772808681.2654,elite,2685.3890325374,1710728566.0874,1772917280.7453,80,http,192.73.244.36:80,false,305.2933216095,585081,245143,70.472667617414,192.73.244.36,"AS36236 NetActuate, Inc",NETACTUATE,"Los Angeles","North America",NA,"United States",US,,true,"NetActuate, Inc",34.0544,-118.244,false,"Host Virtual, Inc",true,California,success,America/Los_Angeles,90060,1772596582
true,1772917280.7388,elite,9168.153357793,1761515721.0612,1772917280.7388,579,socks4,13.212.76.113:579,true,10199.732065201,83,24263,0.34091842602481,13.212.76.113,"AS16509 Amazon.com, Inc.",AMAZON-02,Singapore,Asia,AS,Singapore,SG,"Downtown Core",true,"Amazon Technologies Inc.",1.28009,103.851,false,"AWS EC2 (ap-southeast-1)",true,"Central Singapore",success,Asia/Singapore,048582,1772349573
true,1772917280.6974,elite,8460.4688704699,1723133852.6321,1772917280.6974,8123,socks4,183.228.234.61:8123,true,11190.293550491,522,119033,0.43661912927105,183.228.234.61,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,Chongqing,Asia,AS,China,CN,,false,"China Mobile",29.5689,106.5577,true,"China Mobile Communications Corporation",false,Chongqing,success,Asia/Shanghai,,1772850078
true,1772917280.6223,elite,6044.0262064722,1743040004.6081,1772917280.6223,4669,http,207.246.234.115:4669,false,4480.0519943237,26787,309255,7.9713250129448,207.246.234.115,"AS21782 Plateau Telecommunications Incorporated",PLATEAU,Clovis,"North America",NA,"United States",US,,false,"Plateau Telecommunications Incorporated",34.4129,-103.2199,false,"Symmetric Systems LLC",true,"New Mexico",success,America/Denver,88101,1772709008
true,1772893770.9079,elite,780.96221724061,1771544122.6805,1772917280.609,8080,http,140.238.9.210:8080,false,698.18758964539,42943,147,99.658853562311,140.238.9.210,"AS31898 Oracle Corporation",ORACLE-BMC-31898,Seoul,Asia,AS,"South Korea",KR,,true,"Oracle Corporation",37.5985,126.9783,false,"Oracle Cloud Infrastructure (ap-seoul-1)",false,Seoul,success,Asia/Seoul,02878,1772753740
true,1772917280.5374,transparent,5704.6397684911,1756335945.9169,1772917280.5374,9999,http,124.106.223.156:9999,false,2034.1534614563,18318,171310,9.6599658278313,124.106.223.156,"AS9299 Philippine Long Distance Telephone Company",IPG-AS-AP,Cabuyao,Asia,AS,Philippines,PH,,false,"Philippine Long Distance Telephone Co.",14.2782,121.1215,false,"Philippine Long Distance Telephone Company",true,Calabarzon,success,Asia/Manila,4025,1772667487
true,1772917280.2444,elite,1716.3369641296,1761815334.1218,1772917280.2444,8890,http,120.92.212.16:8890,false,872.32089042664,108775,42998,71.6695327891,120.92.212.16,"AS23724 IDC, China Telecommunications Corporation",CHINANET-IDC-BJ-AP,Beijing,Asia,AS,China,CN,,false,"Beijing Kingsoft Cloud Internet Technology Co",39.9042,116.407,false,"Beijing Kingsoft Cloud Internet Technology Co., Ltd.",true,Beijing,success,Asia/Shanghai,100000,1772703193
true,1772917279.9444,transparent,5638.8911955952,1770136447.4189,1772917279.9444,1452,http,123.0.18.20:1452,false,4247.7474212646,8400,76150,9.9349497338853,123.0.18.20,"AS56054 Icon Infotech Limited",ICON-INFOTECH-BD,Paltan,Asia,AS,Bangladesh,BD,,false,"Icon Infotech",23.7272,90.4201,false,"Icon Infotech Limited",true,"Dhaka Division",success,Asia/Dhaka,1217,1772557371
true,1772915329.3279,elite,1639.2557455713,1750609398.0113,1772917279.8182,9091,http,183.215.23.242:9091,false,821.78926467896,216078,7903,96.471575714011,183.215.23.242,"AS56047 China Mobile communications corporation",CMNET-Hunan-AP,Qingyuan,Asia,AS,China,CN,,false,"China Mobile Communications Corporation",28.1142,112.983,true,"China Mobile Communications Corporation",true,Hunan,success,Asia/Shanghai,,1772527166
true,1772917279.7573,anonymous,3150.4227848353,1771634415.8995,1772917279.7573,80,http,41.220.16.210:80,false,988.4295463562,17916,22424,44.412493802677,41.220.16.210,"AS37204 Telone PVT Ltd",TELONE,Harare,Africa,AF,Zimbabwe,ZW,,false,"Telone PVT Ltd",-17.8394,31.0543,false,,false,Harare,success,Africa/Harare,,1772844253
true,1772910398.4231,elite,590.43578701288,1771546040.9086,1772917279.6929,8090,http,113.212.111.4:8090,false,353.51181030273,26630,15845,62.695703354915,113.212.111.4,"AS136224 City Online Ltd.",CITYONLINELTD-AS-AP,Dhaka,Asia,AS,Bangladesh,BD,,false,"City Online Ltd",23.8672,90.3927,false,"City Online Ltd.",true,"Dhaka Division",success,Asia/Dhaka,1230,1772755680
true,1772917208.8857,elite,4755.7416515629,1710664688.061,1772917279.5566,80,http,108.170.12.11:80,false,2823.1592178345,59261,719348,7.6111372974112,108.170.12.11,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,"Prasanna Technologies",true,Arizona,success,America/Phoenix,85036,1772737019
true,1772916924.953,elite,400.13814372861,1765321046.3432,1772917279.5205,80,http,172.193.178.226:80,false,350.22044181824,111067,17351,86.488654238502,172.193.178.226,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Quincy,"North America",NA,"United States",US,,true,"Foxtel ISP",47.233,-119.852,false,"Microsoft Azure Cloud (westus2)",true,Washington,success,America/Los_Angeles,98848,1772579424
true,1772917279.4699,transparent,5701.1286339877,1769931537.4669,1772917279.4699,8080,http,201.157.235.197:8080,false,7993.7312602997,9035,80898,10.046367851623,201.157.235.197,"AS52871 TASCOM TELECOMUNICAÇÕES LTDA","TASCOM TELECOMUNICAÇÕES LTDA","Lauro de Freitas","South America",SA,Brazil,BR,,false,"TASCOM TELECOMUNICAÇÕES LTDA",-12.8433,-38.3284,false,"TASCOM TELECOMUNICAÇÕES LTDA",true,Bahia,success,America/Bahia,42700,1772351304
true,1772916661.2892,elite,1836.6239583469,1767113214.5114,1772917279.4506,80,http,175.138.231.145:80,false,611.36913299561,90948,24655,78.672698805394,175.138.231.145,"AS4788 TM TECHNOLOGY SERVICES SDN. BHD.",TTSSB-MY,"Kuala Lumpur",Asia,AS,Malaysia,MY,,false,"TM TECHNOLOGY SERVICES SDN BHD",3.1408,101.6852,false,"Adsl Streamyx",true,"Kuala Lumpur",success,Asia/Kuala_Lumpur,50515,1772558303
